Date,Open,High,Low,Close,Adj Close,Volume
11/29/2019,8682.009766,8697.320313,8664.040039,8665.469727,8665.469727,1099090000
12/2/2019,8672.839844,8672.839844,8540.160156,8567.990234,8567.990234,2225940000
12/3/2019,8460.719727,8523.980469,8435.400391,8520.639648,8520.639648,2308600000
12/4/2019,8557.450195,8584.879883,8552.379883,8566.669922,8566.669922,2150680000
12/5/2019,8587.929688,8588.889648,8541.919922,8570.700195,8570.700195,2123380000
12/6/2019,8634.25,8665.44043,8630.580078,8656.530273,8656.530273,2053530000
12/9/2019,8650.860352,8678.849609,8619.769531,8621.830078,8621.830078,2088520000
12/10/2019,8623.55957,8650.759766,8600.820313,8616.179688,8616.179688,2053390000
12/11/2019,8631.120117,8658.480469,8622.360352,8654.049805,8654.049805,1937850000
12/12/2019,8645.360352,8745.820313,8633.599609,8717.320313,8717.320313,2388270000
12/13/2019,8713.910156,8768.870117,8697.580078,8734.879883,8734.879883,2188720000
12/16/2019,8791.30957,8833.450195,8789.769531,8814.230469,8814.230469,2346290000
12/17/2019,8829.469727,8831.990234,8804.599609,8823.360352,8823.360352,2374120000
12/18/2019,8834.650391,8848.759766,8820.419922,8827.740234,8827.740234,2727870000
12/19/2019,8838.969727,8888.129883,8838.969727,8887.219727,8887.219727,2415950000
12/20/2019,8911.839844,8931.910156,8901.870117,8924.959961,8924.959961,3825460000
12/23/2019,8950.200195,8956.639648,8934.549805,8945.650391,8945.650391,2025450000
12/24/2019,8955.009766,8957.120117,8934.360352,8952.879883,8952.879883,1014520000
12/26/2019,8970.209961,9022.459961,8968.459961,9022.389648,9022.389648,1634920000
12/27/2019,9049.469727,9052,8987.320313,9006.620117,9006.620117,1832200000
12/30/2019,9004.450195,9006.360352,8909.19043,8945.990234,8945.990234,2042420000
12/31/2019,8918.740234,8975.360352,8912.769531,8972.599609,8972.599609,2182800000
1/2/2020,9039.459961,9093.429688,9010.889648,9092.19043,9092.19043,2848370000
1/3/2020,8976.429688,9065.759766,8976.429688,9020.769531,9020.769531,2567400000
1/6/2020,8943.5,9072.410156,8943.5,9071.469727,9071.469727,2788120000
1/7/2020,9076.639648,9091.929688,9042.549805,9068.580078,9068.580078,2352850000
1/8/2020,9068.030273,9168.889648,9059.379883,9129.240234,9129.240234,2464090000
1/9/2020,9202.269531,9215.950195,9158.5,9203.429688,9203.429688,2534700000
1/10/2020,9232.950195,9235.200195,9164.660156,9178.860352,9178.860352,2378990000
1/13/2020,9213.719727,9274.490234,9193.05957,9273.929688,9273.929688,2530270000
1/14/2020,9270.610352,9298.330078,9226.490234,9251.330078,9251.330078,2542170000
1/15/2020,9253.759766,9298.820313,9231.139648,9258.700195,9258.700195,2435650000
1/16/2020,9313.450195,9357.919922,9301.320313,9357.129883,9357.129883,2301400000
1/17/2020,9392.370117,9393.480469,9346.80957,9388.94043,9388.94043,2522670000
1/21/2020,9361.070313,9397.580078,9350.200195,9370.80957,9370.80957,2684540000
1/22/2020,9413.610352,9439.290039,9375.129883,9383.769531,9383.769531,2449390000
1/23/2020,9377.719727,9409.200195,9334.129883,9402.480469,9402.480469,2460050000
1/24/2020,9446.209961,9451.429688,9273.230469,9314.910156,9314.910156,2611710000
1/27/2020,9092.459961,9185.450195,9088.040039,9139.30957,9139.30957,2583330000
1/28/2020,9201.820313,9288.870117,9182.330078,9269.679688,9269.679688,2157830000
1/29/2020,9318.259766,9329.120117,9249.040039,9275.160156,9275.160156,2223480000
1/30/2020,9211.150391,9303,9185.179688,9298.929688,9298.929688,2333500000
1/31/2020,9324.330078,9324.799805,9123.219727,9150.94043,9150.94043,2685840000
2/3/2020,9190.719727,9299.849609,9188.549805,9273.400391,9273.400391,2420510000
2/4/2020,9398.389648,9485.379883,9374.049805,9467.969727,9467.969727,2445420000
2/5/2020,9574.099609,9574.94043,9454.929688,9508.679688,9508.679688,2462470000
2/6/2020,9540.980469,9575.660156,9505.679688,9572.150391,9572.150391,2267300000
2/7/2020,9526.639648,9570.089844,9496.530273,9520.509766,9520.509766,2238670000
2/10/2020,9493.629883,9628.660156,9493.629883,9628.389648,9628.389648,2179310000
2/11/2020,9680.889648,9714.740234,9617.209961,9638.94043,9638.94043,2423670000
2/12/2020,9688.599609,9728.769531,9666.69043,9725.959961,9725.959961,2355000000
2/13/2020,9657.040039,9748.320313,9650.019531,9711.969727,9711.969727,2239270000
2/14/2020,9728.900391,9746.360352,9693.049805,9731.179688,9731.179688,2222240000
2/18/2020,9679.040039,9747.679688,9675.799805,9732.740234,9732.740234,2273460000
2/19/2020,9782.80957,9838.370117,9777.099609,9817.179688,9817.179688,2462530000
2/20/2020,9799.200195,9820.860352,9636.94043,9750.969727,9750.969727,2735610000
2/21/2020,9708.009766,9715.950195,9542.330078,9576.589844,9576.589844,2743010000
2/24/2020,9188.44043,9322.879883,9166.009766,9221.280273,9221.280273,3177000000
2/25/2020,9301.200195,9315.259766,8940.490234,8965.610352,8965.610352,3583400000
2/26/2020,9011.549805,9148.320313,8927.799805,8980.780273,8980.780273,3567830000
