state,month,death,positive,recovered
Indiana,July,2801.74,54924.77,40182.03
Indiana,August,3134.74,80269.48,59521.19
Indiana,September,3463.87,107470.87,83847.83
Indiana,October,3926.9,145561.61,106957.61
Indiana,November,4700.67,220534.78,137329.33
Kansas,March,2.94,89.19,0
Kansas,April,73.27,1816.7,269
Kansas,May,169.42,7636.48,422.06
Kansas,June,245.77,11678.43,681.3
Kansas,July,301.81,21115.61,971.77
Kansas,August,402.65,34517.65,1419.06
Kansas,September,553.87,50783.47,1900.83
Kansas,October,848.74,70831.1,2371.52
Kansas,November,1178.39,104839.83,2856.78
Kentucky,March,3.89,108.42,0
Kentucky,April,121.47,2350.57,1079.57
Kentucky,May,335.81,7286.87,2598.97
Kentucky,June,505.83,12804.23,3493.8
Kentucky,July,650.16,21889.55,6069.84
Kentucky,August,826.39,39297.52,9153.87
Kentucky,September,1072,58697.17,11086.63
Kentucky,October,1315.45,86336.06,15634.61
Kentucky,November,1590.72,125146.83,22209.28
Louisiana,March,66.41,1138.04,0
Louisiana,April,1080,20838.67,15983
Louisiana,May,2438.74,34140.1,23774.84
Louisiana,June,3035.83,47754.47,36051.23
Louisiana,July,3525.94,86875.68,53273.1
Louisiana,August,4487.13,136302.68,104499.9
Louisiana,September,5264.7,159264.47,142421.83
Louisiana,October,5723.29,177578.55,161101.39
Louisiana,November,6053.5,196373.5,173676.89
Massachusetts,March,46.5,1607.7,0
Massachusetts,April,1668.2,32935.53,0
Massachusetts,May,5510.55,83309.19,78108
Massachusetts,June,7632.93,105495.5,88217.2
Massachusetts,July,8370.42,112861.84,95103.45
Massachusetts,August,8833.39,123311.74,100834.97
Massachusetts,September,9245.1,126189.77,108495.37
Massachusetts,October,9707,143519.77,119014.39
Massachusetts,November,10189.28,175592.83,132871.78
Maryland,March,11.07,322.3,25
Maryland,April,531.8,10876.73,713.72
Maryland,May,1989.71,38165.42,2673.06
Maryland,June,2939.7,61616.13,4517.6
Maryland,July,3349.48,76598.65,5280.94
Maryland,August,3636.16,99580.55,5961.52
Maryland,September,3855.63,117279.33,7272.1
Maryland,October,4034.35,134599.39,7863.97
Maryland,November,4236.5,157196,8304.22
Maine,March,2.6,84.8,33.29
Maine,April,28.1,745.27,337.7
Maine,May,70.32,1682.52,1041.74
Maine,June,100.33,2801.9,2182.43
Maine,July,114.39,3614,3058.16
Maine,August,127.45,4190.97,3636.45
Maine,September,136.93,4946.73,4283.3
Maine,October,144.32,5915.32,5105.84
Maine,November,156.33,8024.17,6184.78
Michigan,March,155.73,5472.97,0
Michigan,April,2658.63,34556,2742.29
Michigan,May,5293.13,56977.23,25250.61
Michigan,June,6024.73,66722.9,44965.2
Michigan,July,6331.19,79953.9,54405.19
Michigan,August,6592.26,101958.29,66985.97
Michigan,September,6928.23,125408.53,85823.6
Michigan,October,7344.42,161279.39,106744.68
Michigan,November,8086.61,245769.22,129096.39
Minnesota,March,4.27,308.46,188.75
Minnesota,April,127.27,3095.6,1006.59
Minnesota,May,705.45,17841.87,9834.1
Minnesota,June,1315.73,31406.9,26299.4
Minnesota,July,1563.19,44756.94,38966.03
Minnesota,August,1756.16,65124.74,58008.71
Minnesota,September,1980,86907.27,78751.27
Minnesota,October,2243.13,120618.03,107107.16
Minnesota,November,2712.39,191171.72,154464.83
Missouri,March,4.72,248.16,0
Missouri,April,152.27,4815.2,0
Missouri,May,563.32,10652,0
Missouri,June,896.43,16741.73,0
Missouri,July,1113.77,32430.74,0
Missouri,August,1369.65,67250.26,0
Missouri,September,1784.87,106302.77,0
Missouri,October,2522.97,153013.35,0
Missouri,November,3238.06,216326,0
Mississippi,March,7,231.2,0
Mississippi,April,132.4,3657.37,3413
Mississippi,May,509.81,11099.1,6601.16
Mississippi,June,909.93,20416.43,14621.47
Mississippi,July,1320,41231.55,26490.1
Mississippi,August,2081.48,72111.39,51776.19
Mississippi,September,2737.1,91122.53,77977.03
Mississippi,October,3155.97,108821.23,94973.45
Mississippi,November,3468.89,128310.11,109573.17
Montana,March,2.5,42.72,0
Montana,April,9.23,381.57,256.65
Montana,May,16.19,470.32,429.55
Montana,June,19.37,659.7,526.3
Montana,July,35.74,2275.71,1241.55
Montana,August,82.65,5702.74,4030.23
Montana,September,142.4,9763.6,7295.37
Montana,October,247.26,22024.81,13928.9
Montana,November,460.67,41333.5,24776.94
North Carolina,March,1.75,296.18,0
North Carolina,April,152.87,5618.8,0
North Carolina,May,637.35,18446.71,11902
North Carolina,June,1133.4,45858.5,28388.23
North Carolina,July,1599.35,93598.58,67653
North Carolina,August,2345.16,145148.23,120119.32
North Carolina,September,3132.27,188817.07,164362.9
North Carolina,October,3923.39,241768.03,208095.03
North Carolina,November,4644.67,297343.33,256459.22
North Dakota,March,0.37,32.68,19.6
North Dakota,April,9.8,493.63,184.93
North Dakota,May,32.48,1849.26,1135.19
North Dakota,June,67.53,3103.07,2680.6
North Dakota,July,83.26,4818.68,4009.16
North Dakota,August,106.52,8800.81,7261
North Dakota,September,142.47,16553.67,13483.4
North Dakota,October,287.48,31264.29,25660.52
North Dakota,November,513.67,56066.22,45287.33
Nebraska,March,0.69,41.37,0
Nebraska,April,26.73,1333.13,0
Nebraska,May,118.03,9544.68,0
Nebraska,June,221.53,16764.3,10347.39
Nebraska,July,297.39,22065.26,16337.74
Nebraska,August,361,30041.58,22273.65
Nebraska,September,434.87,39184.9,29615.53
Nebraska,October,548.55,56057.06,38147.26
Nebraska,November,719.17,85618.72,48984.83
New Hampshire,March,1.75,68.79,0
New Hampshire,April,31.8,1175.57,405.63
New Hampshire,May,158.84,3445.68,1591.03
New Hampshire,June,315.33,5292.63,3845.2
New Hampshire,July,393.61,6139.77,5095.45
New Hampshire,August,423.94,6958.23,6236.65
New Hampshire,September,436,7766.87,7051.87
New Hampshire,October,461.68,9572.32,8311.61
New Hampshire,November,491.78,13073.44,10283.28
New Jersey,March,50.52,3425.89,0
New Jersey,April,4278,72887.83,11902
New Jersey,May,11597,144209.19,20368.81
New Jersey,June,14334.93,167006.17,28715.83
New Jersey,July,15412.68,176396.71,31406.03
New Jersey,August,15847.29,187169.03,33283.58
New Jersey,September,16038.97,198052.2,34449.07
New Jersey,October,16217.03,219349.42,35816.52
New Jersey,November,16472.83,261167.5,38473.5
New Mexico,March,2.12,76.22,20
New Mexico,April,49.13,1650.7,375.53
New Mexico,May,249.65,5741.13,1763.32
New Mexico,June,438.47,9943.77,4173.33
New Mexico,July,564.94,16262.42,6647.52
New Mexico,August,713.87,23285.77,10533.61
New Mexico,September,832.63,27189.27,14807.33
New Mexico,October,934.16,36501.81,19399.55
New Mexico,November,1143.17,57409.5,23751.94
Nevada,March,8.04,224.37,0
Nevada,April,154.17,3240.6,0
Nevada,May,365.84,6803.1,0
Nevada,June,480.7,12195.9,0
Nevada,July,639.16,32637.55,0
Nevada,August,1076,60488.87,0
Nevada,September,1478.9,74484.87,0
Nevada,October,1695.16,89415.16,0
Nevada,November,1863.44,112256.33,0
New York,March,365.18,16351.43,3504.4
New York,April,11011.77,207614.77,30298.33
New York,May,22025.32,344950.68,60801.32
New York,June,24525.57,383783.07,68649.8
New York,July,25013.81,404663,71867.87
New York,August,25245.94,425254.06,74134.68
New York,September,25403.33,446471.9,75918.1
New York,October,25636.39,481957.9,78165.77
New York,November,26000.39,537532.78,80891.39
Ohio,March,17.75,447.15,0
Ohio,April,417.23,9571.87,0
Ohio,May,1603.52,27337.55,0
Ohio,June,2570.63,42666.43,0
Ohio,July,3133.16,71100.52,49885.63
Ohio,August,3829.23,107855.71,86302.74
Ohio,September,4497.13,139679.93,118150.57
Ohio,October,5074.74,180360.32,149306.23
Ohio,November,5569.5,263020.56,189422.78
Oklahoma,March,7.77,122.72,0
Oklahoma,April,123.13,2262.97,1400.35
Oklahoma,May,286.35,5177.45,3900.23
Oklahoma,June,361.53,9250.6,7098.6
Oklahoma,July,447.45,23818.9,18520.42
Oklahoma,August,669.87,48151.71,40176.77
